ID,sexo,año,pob
01009,Mujer,2013,14666
01009,Mujer,2014,12639
01009,Mujer,2015,10729
01010,Hombre,1990,0
01010,Hombre,1991,0
01010,Hombre,1992,0
01010,Hombre,1993,0
01010,Hombre,1994,0
01010,Hombre,1995,0
01010,Hombre,1996,0
01010,Hombre,1997,0
01010,Hombre,1998,0
01010,Hombre,1999,0
01010,Hombre,2000,7489
01010,Hombre,2001,7567
01010,Hombre,2002,7700
01010,Hombre,2003,7830
01010,Hombre,2004,7963
01010,Hombre,2005,8110
01010,Hombre,2006,10084
01010,Hombre,2007,12119
01010,Hombre,2008,14159
01010,Hombre,2009,16194
01010,Hombre,2010,18386
01010,Hombre,2011,16698
01010,Hombre,2012,15013
01010,Hombre,2013,13323
01010,Hombre,2014,11638
01010,Hombre,2015,9982
01010,Mujer,1990,0
01010,Mujer,1991,0
01010,Mujer,1992,0
01010,Mujer,1993,0
01010,Mujer,1994,0
01010,Mujer,1995,0
01010,Mujer,1996,0
01010,Mujer,1997,0
01010,Mujer,1998,0
01010,Mujer,1999,0
01010,Mujer,2000,7538
01010,Mujer,2001,7726
01010,Mujer,2002,8019
01010,Mujer,2003,8298
01010,Mujer,2004,8591
01010,Mujer,2005,8900
01010,Mujer,2006,10688
01010,Mujer,2007,12505
01010,Mujer,2008,14311
01010,Mujer,2009,16128
01010,Mujer,2010,18178
01010,Mujer,2011,16569
01010,Mujer,2012,14974
01010,Mujer,2013,13377
01010,Mujer,2014,11782
01010,Mujer,2015,10263
01011,Hombre,1990,0
01011,Hombre,1991,0
01011,Hombre,1992,0
01011,Hombre,1993,0
01011,Hombre,1994,0
01011,Hombre,1995,0
01011,Hombre,1996,0
01011,Hombre,1997,0
01011,Hombre,1998,0
01011,Hombre,1999,0
01011,Hombre,2000,9421
01011,Hombre,2001,10175
01011,Hombre,2002,10997
01011,Hombre,2003,11828
01011,Hombre,2004,12650
01011,Hombre,2005,13520
01011,Hombre,2006,17897
01011,Hombre,2007,22355
01011,Hombre,2008,26811
01011,Hombre,2009,31269
01011,Hombre,2010,35890
01011,Hombre,2011,33269
01011,Hombre,2012,30651
01011,Hombre,2013,28031
01011,Hombre,2014,25413
01011,Hombre,2015,22992
01011,Mujer,1990,0
01011,Mujer,1991,0
01011,Mujer,1992,0
01011,Mujer,1993,0
01011,Mujer,1994,0
01011,Mujer,1995,0
01011,Mujer,1996,0
01011,Mujer,1997,0
01011,Mujer,1998,0
01011,Mujer,1999,0
01011,Mujer,2000,10558
01011,Mujer,2001,11390
01011,Mujer,2002,12283
01011,Mujer,2003,13170
01011,Mujer,2004,14063
01011,Mujer,2005,15030
01011,Mujer,2006,19519
01011,Mujer,2007,24035
01011,Mujer,2008,28559
01011,Mujer,2009,33075
01011,Mujer,2010,37754
01011,Mujer,2011,34865
01011,Mujer,2012,31994
01011,Mujer,2013,29123
01011,Mujer,2014,26252
01011,Mujer,2015,23462
02001,Hombre,1990,127860
02001,Hombre,1991,133294
02001,Hombre,1992,138779
02001,Hombre,1993,144263
02001,Hombre,1994,149746
02001,Hombre,1995,155230
02001,Hombre,1996,160716
02001,Hombre,1997,166202
02001,Hombre,1998,171683
02001,Hombre,1999,177165
02001,Hombre,2000,182709
02001,Hombre,2001,186598
02001,Hombre,2002,190490
02001,Hombre,2003,194379
02001,Hombre,2004,198271
02001,Hombre,2005,202250
02001,Hombre,2006,208523
02001,Hombre,2007,214916
02001,Hombre,2008,221321
02001,Hombre,2009,227714
02001,Hombre,2010,234117
02001,Hombre,2011,235842
02001,Hombre,2012,237637
02001,Hombre,2013,239427
02001,Hombre,2014,241222
02001,Hombre,2015,243180
02001,Mujer,1990,128020
02001,Mujer,1991,133572
02001,Mujer,1992,139239
02001,Mujer,1993,144910
02001,Mujer,1994,150571
02001,Mujer,1995,156230
02001,Mujer,1996,161908
02001,Mujer,1997,167574
02001,Mujer,1998,173240
02001,Mujer,1999,178902
02001,Mujer,2000,184572
02001,Mujer,2001,188910
02001,Mujer,2002,193248
02001,Mujer,2003,197581
02001,Mujer,2004,201919
02001,Mujer,2005,206390
02001,Mujer,2006,210358
02001,Mujer,2007,214432
02001,Mujer,2008,218492
